Intake Date,Intake Time,Animal ID,Name,Species,Primary Breed,Secondary Breed,Age (Months),Size Group,Sex,Altered in Care,Altered before arrival,Intake Type,Intake Sub-Type,Intake From (Zip Code),Address Found (Zip Code),Microchip Number,Outcome Date,Outcome Time,Outcome Type,Outcome Sub-type,Zip Code
09/10/2021,11:51 am,JHS-A-79999,Roman,Cat,Domestic Shorthair,,3,,Male,Yes,No,Stray,No ID,32216,32216,,09/15/2021,12:24 pm,feral/wildlife,Returned to Field,32216
09/10/2021,10:02 am,JHS-A-79997,Fraggle,Cat,Domestic Medium Hair,,1,,Female,Yes,No,Stray,No ID,32266,32211,981020041154021,10/09/2021,08:47 am,Adoption,On Site Adoption,32211
09/10/2021,09:36 am,JHS-A-79187,Aurora,Dog,Mixed Breed (Medium),,25,Medium (20-59),Female,Yes,Yes,Return,Financial Issues,32216,,981020041150940,09/13/2021,11:19 am,Adoption,On Site Adoption,32216
09/10/2021,08:43 am,JHS-A-78439,Cherry,Cat,Domestic Shorthair,,4,,Male,Yes,No,Owner/Guardian Surrender,Housing Issues- Walk In,32233,,981020039913421,09/10/2021,11:15 am,Adoption,On Site Adoption,32233
09/25/2021,04:43 pm,JHS-A-80363,Head Chef,Cat,Domestic Medium Hair,,48,,Female,No,No,Stray,No ID,32206,32246,981020041134399,12/20/2021,02:47 pm,Adoption,On Site Adoption,32246
09/25/2021,04:37 pm,JHS-A-80362,Pork Chop,Cat,Domestic Medium Hair,,,,Male,Yes,No,Stray,No ID,32206,32246,981020041088645,12/04/2021,08:58 am,Adoption,On Site Adoption,32246
09/25/2021,04:36 pm,JHS-A-80361,Cutlet,Cat,Domestic Medium Hair,,,,Female,Yes,No,Stray,No ID,32206,32246,981020041094321,12/01/2021,11:07 am,Adoption,On Site Adoption,32246
09/25/2021,04:35 pm,JHS-A-80360,Chicken Tender,Cat,Domestic Medium Hair,,,,Female,Yes,No,Stray,No ID,32206,32246,981020041148965,12/01/2021,11:07 am,Adoption,On Site Adoption,32246
09/25/2021,04:34 pm,JHS-A-80359,Drumstick,Cat,Domestic Medium Hair,,1,,Male,No,No,Stray,No ID,32206,32246,981020041113814,11/04/2021,01:02 pm,Died,Died in Foster (Use specific Subtype if known),32246
09/25/2021,04:10 pm,JHS-A-80358,Mink,Cat,Domestic Shorthair,,2,,Male,Yes,No,Stray,No ID,32277,32210,981020041142277,09/29/2021,03:19 pm,Adoption,On Site Adoption,32210
09/25/2021,02:59 pm,JHS-A-80356,Hammer Head,Dog,Mixed Breed (Large),,72,Large (60-99),Male,Yes,No,Stray,No ID,32216,32216,981020043247134,10/01/2021,01:32 pm,Adoption,On Site Adoption,32216
09/25/2021,02:42 pm,JHS-A-79987,Gourd,Cat,Domestic Shorthair,,36,,Male,Yes,No,Return,No Time For,32224,,981020039867071,11/10/2021,11:38 am,Adoption,On Site Adoption,32224
09/25/2021,01:56 pm,JHS-A-80355,Alfred,Cat,Domestic Medium Hair,,,,Male,Yes,No,Stray,No ID,32256,32225,981020041124399,12/02/2021,01:08 pm,Adoption,On Site Adoption,32225
09/25/2021,01:56 pm,JHS-A-80354,Hugo,Cat,Domestic Medium Hair,,,,Male,Yes,No,Stray,No ID,32256,32225,981020041115781,12/02/2021,01:08 pm,Adoption,On Site Adoption,32225
09/25/2021,01:55 pm,JHS-A-80353,Batman,Cat,Domestic Medium Hair,,1,,Male,No,No,Stray,No ID,32256,32225,981020041282533,10/11/2021,04:39 pm,Euthanasia,Medical Issues,32225
