Unnamed: 0,name,review_count,category,Additional categories,price,city,Zip code,state,rating,delivery,pickup,Accepts resvervations
245,Bitchin Bagel,1,cafe/breakfast,Breakfast & Brunch,,Jacksonville,32256,FL,3.0,Yes,No,No
246,Victory Lap BBQ Social - Jacksonville,9,american,Barbeque,,Jacksonville,32216,FL,3.5,Yes,Yes,No
247,Neon Moon,1,american,Tapas Bars,,Jacksonville,32204,FL,5.0,No,No,No
248,Island Girl Seafood,24,convenience,Food Trucks,,Jacksonville,32216,FL,4.0,No,No,No
249,Kickbacks Gastropub-Goozlepipe & Guttyworks,1152,bars/cocktail,Gastropubs,$$,Jacksonville,32204,FL,3.5,Yes,No,No
250,Nudo Vietnamese Cuisine,182,asian/sushi,Vietnamese,$$,Jacksonville,32257,FL,4.5,Yes,Yes,No
251,Beirut Restaurant & Spirits,213,unique_foregin,Lebanese,$$,Jacksonville,32217,FL,4.5,Yes,Yes,No
252,Aroi Thai,88,asian/sushi,Thai,$$,Jacksonville,32204,FL,4.0,Yes,No,No
253,Noura Cafe,158,unique_foregin,Middle Eastern,$$,Jacksonville,32217,FL,4.5,Yes,Yes,No
254,La Cena Ristorante,101,italian,Italian,$$$,Jacksonville,32205,FL,4.0,Yes,No,No
255,Cantina Louie,306,mexican/tex-mex,Mexican,$$,Jacksonville,32246,FL,4.0,Yes,No,No
256,Cajun Crab Juicy Seafood & Bar,25,american,Cajun/Creole,,Jacksonville,32225,FL,4.0,Yes,Yes,No
257,Tabouleh Mediterranean Cafe,285,unique_foregin,Mediterranean,$$,Jacksonville,32277,FL,4.5,Yes,Yes,No
258,Picasso's,692,italian,Pizza,$$,Jacksonville,32257,FL,4.5,Yes,No,No
259,Burrito Gallery - Brooklyn,332,bars/cocktail,Bars,$$,Jacksonville,32202,FL,3.5,Yes,Yes,No
260,The Red Gill Bistro,58,american,American (Traditional),,Jacksonville,32256,FL,4.0,Yes,Yes,No
261,Mojitos Caribbean Cuisine Bar & Grill,32,bars/cocktail,Bars,$$,Jacksonville,32256,FL,3.5,Yes,No,No
262,The River House,2,bars/cocktail,Bars,$,Jacksonville,32211,FL,3.5,No,No,No
263,Norikase,69,asian/sushi,Sushi Bars,,Jacksonville,32246,FL,4.5,Yes,No,No
264,Prati Italia,221,italian,Italian,$$,Jacksonville,32246,FL,4.0,Yes,Yes,No
265,Woffs,3,american,Vegan,,Jacksonville,32207,FL,4.5,Yes,Yes,No
266,La Colonia,4,unique_foregin,Latin American,$,Jacksonville,32207,FL,4.0,No,No,No
267,Newk's Eatery,86,italian,Pizza,$$,Jacksonville,32256,FL,4.0,Yes,Yes,No
268,Hot Wok,30,asian/sushi,Chinese,$,Jacksonville,32207,FL,4.0,Yes,Yes,No
269,Tailgate Bar & Grill,1,bars/cocktail,Bars,$,Jacksonville,32202,FL,1.0,No,No,No
270,Murray Hillbilly,134,american,American (Traditional),$$,Jacksonville,32205,FL,4.0,Yes,Yes,No
271,Juliette's Bistro,96,american,American (Traditional),$$,Jacksonville,32202,FL,3.5,Yes,No,No
272,Amazing Thai restaurant,46,asian/sushi,Thai,,Jacksonville,32256,FL,4.0,Yes,Yes,No
273,Lola's Burrito & Burger Joint,586,mexican/tex-mex,Mexican,$$,Jacksonville,32205,FL,4.0,Yes,Yes,No
274,Cheddar's Scratch Kitchen,396,american,American (Traditional),$$,Jacksonville,32246,FL,3.0,No,No,No
275,Vale Food Co,133,american,American (New),$$,Jacksonville,32202,FL,4.0,Yes,Yes,No
276,Aladdin Grill,48,unique_foregin,Middle Eastern,,Jacksonville,32246,FL,4.5,Yes,Yes,No
277,Culver’s,20,american,Burgers,$$,Jacksonville,32225,FL,4.0,No,No,No
278,Havana Jax,116,unique_foregin,Cuban,$$,Jacksonville,32207,FL,3.5,Yes,Yes,No
279,Soul Food Bistro,229,american,Soul Food,$$,Jacksonville,32205,FL,4.5,Yes,No,No
280,Mr. Taco,236,mexican/tex-mex,Tex-Mex,$,Jacksonville,32216,FL,4.0,Yes,Yes,No
281,III Forks Prime Steakhouse,362,cafe/breakfast,Steakhouses,$$$,Jacksonville,32246,FL,3.5,Yes,Yes,No
282,Thai & Lao Bistro,95,asian/sushi,Thai,$$,Jacksonville,32225,FL,4.5,Yes,No,No
283,1FoxyLadyCafe,15,cafe/breakfast,Cafes,,Jacksonville,32206,FL,4.5,Yes,Yes,No
284,El Castillo Taqueria & Bakery,192,mexican/tex-mex,Mexican,$,Jacksonville,32223,FL,4.5,Yes,No,No
285,Eva's 1925 Sportsbar & Grill,1,american,American (Traditional),,Jacksonville,32202,FL,5.0,Yes,Yes,No
286,Hamburger Mary's - Jacksonville,262,american,Burgers,$$,Jacksonville,32207,FL,3.5,Yes,Yes,Yes
287,Vegan Cafe Jax,37,american,Vegan,$$,Jacksonville,32207,FL,5.0,Yes,Yes,No
288,Bonchon,310,asian/sushi,Korean,$$,Jacksonville,32246,FL,4.0,Yes,Yes,No
289,China 99,28,asian/sushi,Asian Fusion,$,Jacksonville,32207,FL,3.5,Yes,Yes,No
290,Blacktail Bar & Grill,14,bars/cocktail,Bars,,Jacksonville,32217,FL,4.5,Yes,No,No
291,Breezy Jazz House,45,bars/cocktail,Jazz & Blues,$$,Jacksonville,32207,FL,3.5,No,No,No
292,904 Tacos Five Points,84,mexican/tex-mex,Tacos,$$,Jacksonville,32204,FL,3.0,Yes,No,No
293,Broadway Deli & Grill,83,american,American (Traditional),$,Jacksonville,32216,FL,4.5,Yes,No,No
294,Adams Sandwich Shoppe,28,cafe/breakfast,Breakfast & Brunch,$,Jacksonville,32217,FL,4.0,Yes,No,No
295,Pinegrove Market & Deli,206,convenience,Grocery,$$,Jacksonville,32205,FL,4.5,Yes,No,No
296,Fusion Sushi,91,asian/sushi,Sushi Bars,$$,Jacksonville,32217,FL,4.0,Yes,Yes,No
297,Biggies Pizza - Southside,99,italian,Pizza,,Jacksonville,32216,FL,4.0,No,No,No
298,Players Grille,69,bars/cocktail,Sports Bars,$$,Jacksonville,32207,FL,3.5,Yes,No,No
